[gen-v3] sports/summarization  n_total=17600  per_call=10  n_calls=1760  workers=64  temp=1.0  pool=54
[gen-v3] 50/1760 done  rows=500  in=0.07M out=0.12M  cost=$1.25  fail=0  62.4 calls/min  elapsed=0.8m
[gen-v3] 100/1760 done  rows=999  in=0.13M out=0.24M  cost=$2.55  fail=0  67.4 calls/min  elapsed=1.5m
[gen-v3] 150/1760 done  rows=1499  in=0.20M out=0.36M  cost=$3.82  fail=0  71.7 calls/min  elapsed=2.1m
[gen-v3] 200/1760 done  rows=1999  in=0.26M out=0.48M  cost=$5.11  fail=0  78.5 calls/min  elapsed=2.5m
[gen-v3] 250/1760 done  rows=2498  in=0.33M out=0.60M  cost=$6.38  fail=0  83.3 calls/min  elapsed=3.0m
[gen-v3] 300/1760 done  rows=2998  in=0.40M out=0.71M  cost=$7.64  fail=0  82.9 calls/min  elapsed=3.6m
[gen-v3] 350/1760 done  rows=3498  in=0.46M out=0.84M  cost=$8.94  fail=0  83.6 calls/min  elapsed=4.2m
[gen-v3] 400/1760 done  rows=3998  in=0.53M out=0.96M  cost=$10.21  fail=0  84.1 calls/min  elapsed=4.8m
[gen-v3] 450/1760 done  rows=4498  in=0.59M out=1.08M  cost=$11.53  fail=0  85.7 calls/min  elapsed=5.3m
[gen-v3] 500/1760 done  rows=4998  in=0.66M out=1.20M  cost=$12.80  fail=0  86.4 calls/min  elapsed=5.8m
[gen-v3] 550/1760 done  rows=5498  in=0.73M out=1.32M  cost=$14.08  fail=0  87.3 calls/min  elapsed=6.3m
[gen-v3] 600/1760 done  rows=5998  in=0.79M out=1.44M  cost=$15.36  fail=0  87.2 calls/min  elapsed=6.9m
[gen-v3] 650/1760 done  rows=6497  in=0.86M out=1.56M  cost=$16.64  fail=0  87.9 calls/min  elapsed=7.4m
[gen-v3] 700/1760 done  rows=6996  in=0.93M out=1.67M  cost=$17.90  fail=0  88.0 calls/min  elapsed=8.0m
[gen-v3] 750/1760 done  rows=7495  in=0.99M out=1.79M  cost=$19.17  fail=0  88.2 calls/min  elapsed=8.5m
[gen-v3] 800/1760 done  rows=7994  in=1.06M out=1.91M  cost=$20.45  fail=0  88.7 calls/min  elapsed=9.0m
[gen-v3] 850/1760 done  rows=8494  in=1.12M out=2.03M  cost=$21.74  fail=0  88.4 calls/min  elapsed=9.6m
[gen-v3] 900/1760 done  rows=8993  in=1.19M out=2.16M  cost=$23.05  fail=0  88.5 calls/min  elapsed=10.2m
[gen-v3] 950/1760 done  rows=9493  in=1.26M out=2.28M  cost=$24.35  fail=0  88.6 calls/min  elapsed=10.7m
[gen-v3] 1000/1760 done  rows=9993  in=1.32M out=2.40M  cost=$25.64  fail=0  88.7 calls/min  elapsed=11.3m
[gen-v3] 1050/1760 done  rows=10493  in=1.39M out=2.52M  cost=$26.92  fail=0  88.5 calls/min  elapsed=11.9m
[gen-v3] 1100/1760 done  rows=10993  in=1.45M out=2.64M  cost=$28.21  fail=0  88.8 calls/min  elapsed=12.4m
[gen-v3] 1150/1760 done  rows=11493  in=1.52M out=2.76M  cost=$29.47  fail=0  88.4 calls/min  elapsed=13.0m
[gen-v3] 1200/1760 done  rows=11992  in=1.59M out=2.88M  cost=$30.76  fail=0  88.6 calls/min  elapsed=13.6m
[gen-v3] 1250/1760 done  rows=12492  in=1.65M out=3.00M  cost=$32.03  fail=0  88.8 calls/min  elapsed=14.1m
[gen-v3] 1300/1760 done  rows=12992  in=1.72M out=3.12M  cost=$33.37  fail=0  88.7 calls/min  elapsed=14.7m
[gen-v3] 1350/1760 done  rows=13489  in=1.78M out=3.24M  cost=$34.61  fail=0  88.8 calls/min  elapsed=15.2m
[gen-v3] 1400/1760 done  rows=13988  in=1.85M out=3.36M  cost=$35.87  fail=0  88.7 calls/min  elapsed=15.8m
[gen-v3] 1450/1760 done  rows=14488  in=1.92M out=3.47M  cost=$37.13  fail=0  88.8 calls/min  elapsed=16.3m
[gen-v3] 1500/1760 done  rows=14988  in=1.98M out=3.59M  cost=$38.41  fail=0  89.0 calls/min  elapsed=16.9m
[gen-v3] 1550/1760 done  rows=15488  in=2.05M out=3.72M  cost=$39.71  fail=0  89.0 calls/min  elapsed=17.4m
[gen-v3] 1600/1760 done  rows=15988  in=2.11M out=3.84M  cost=$41.00  fail=0  88.9 calls/min  elapsed=18.0m
[gen-v3] 1650/1760 done  rows=16488  in=2.18M out=3.96M  cost=$42.29  fail=0  89.0 calls/min  elapsed=18.5m
[gen-v3] 1700/1760 done  rows=16988  in=2.25M out=4.07M  cost=$43.55  fail=0  89.0 calls/min  elapsed=19.1m
[gen-v3] 1750/1760 done  rows=17488  in=2.31M out=4.19M  cost=$44.81  fail=0  88.9 calls/min  elapsed=19.7m
[gen-v3] 1760/1760 done  rows=17588  in=2.33M out=4.22M  cost=$45.07  fail=0  88.6 calls/min  elapsed=19.9m
[gen-v3] DONE  wrote 17588 rows  to data/generated/final_v3/raw/sports_summarization_strong.jsonl  cost=$45.07  elapsed=19.9m  fail=0/1760
