,med_advi,med_tuto,med_crit,med_summ,spo_advi,spo_tuto,spo_crit,spo_summ,fin_advi,fin_tuto,fin_crit,fin_summ
med_advi,91.98113207547169,89.16256157635468,84.0909090909091,93.39622641509435,92.7536231884058,89.2156862745098,88.73873873873875,92.42424242424242,89.49771689497716,82.85714285714286,76.55502392344498,92.2279792746114
med_tuto,69.47368421052632,91.21951219512195,73.71134020618557,92.5233644859813,72.59615384615384,91.78743961352657,72.47706422018348,86.45833333333334,63.28502415458937,85.51401869158879,65.15151515151516,90.68627450980392
med_crit,84.54106280193237,97.61904761904762,93.20388349514563,98.14814814814815,89.2018779342723,98.48484848484848,96.26168224299066,98.24561403508771,86.0576923076923,85.77981651376146,87.74509803921569,95.83333333333334
med_summ,29.949238578680205,83.6734693877551,22.857142857142858,88.37209302325581,29.381443298969074,83.90243902439025,34.146341463414636,86.15384615384616,29.107981220657276,74.75247524752476,23.78640776699029,93.45794392523365
spo_advi,94.35897435897435,83.25358851674642,74.52830188679245,93.11926605504587,91.23711340206185,89.86175115207374,83.9572192513369,94.3298969072165,85.20408163265306,84.80392156862744,72.16981132075472,93.85964912280701
spo_tuto,74.47916666666666,93.54838709677419,62.31884057971014,91.66666666666666,72.39819004524887,92.55813953488372,72.72727272727273,89.70588235294117,72.54901960784314,78.28054298642535,53.431372549019606,87.43718592964824
spo_crit,89.90825688073394,93.42723004694837,94.9074074074074,96.65071770334929,94.47513812154696,95.41284403669725,97.34513274336283,99.04306220095694,86.63366336633663,88.39779005524862,89.59276018099548,96.58536585365853
spo_summ,31.25,81.18279569892472,20.179372197309416,89.70588235294117,30.80357142857143,86.55913978494624,29.381443298969074,84.30493273542601,20.27027027027027,81.5,20.37037037037037,93.36734693877551
fin_advi,92.7927927927928,85.02415458937197,79.22705314009661,95.08928571428571,93.96984924623115,87.14285714285714,87.6923076923077,86.91588785046729,92.96482412060301,80.8080808080808,75.5868544600939,98.54368932038835
fin_tuto,81.08108108108108,89.65517241379311,75.72815533980582,96.51741293532339,77.72511848341233,92.34449760765551,78.77358490566037,92.7536231884058,74.76635514018692,89.44723618090453,66.95278969957081,97.19626168224299
fin_crit,85.5,93.51851851851852,90.625,95.47738693467338,89.75,90.82568807339449,92.74611398963731,96.89119170984456,90.99526066350711,89.35185185185185,88.10810810810811,98.10426540284361
fin_summ,45.812807881773395,86.69950738916256,36.31578947368421,89.10891089108911,39.15094339622642,87.37864077669903,45.410628019323674,84.27947598253274,25.257731958762886,87.4439461883408,34.55497382198953,95.1219512195122
