,med_advi,med_tuto,med_crit,med_summ,spo_advi,spo_tuto,spo_crit,spo_summ,fin_advi,fin_tuto,fin_crit,fin_summ
med_advi,90.56603773584906,81.77339901477832,76.36363636363637,69.33962264150944,90.82125603864735,74.01960784313727,76.12612612612612,66.66666666666666,79.45205479452055,62.857142857142854,53.588516746411486,58.549222797927456
med_tuto,66.3157894736842,87.8048780487805,67.5257731958763,84.57943925233646,70.1923076923077,76.32850241545893,61.92660550458715,71.875,56.038647342995176,66.35514018691589,40.4040404040404,73.52941176470588
med_crit,82.1256038647343,87.61904761904762,92.23300970873787,98.14814814814815,87.79342723004694,77.77777777777779,91.58878504672897,96.49122807017544,75.0,67.88990825688074,67.15686274509804,95.83333333333334
med_summ,24.873096446700508,52.04081632653062,15.714285714285714,84.18604651162791,21.649484536082475,33.65853658536586,21.463414634146343,75.8974358974359,11.737089201877934,23.26732673267327,3.8834951456310676,73.83177570093457
spo_advi,91.7948717948718,80.86124401913875,67.9245283018868,78.44036697247707,90.72164948453609,79.26267281105991,74.8663101604278,81.95876288659794,80.10204081632652,66.17647058823529,58.490566037735846,69.73684210526315
spo_tuto,69.79166666666666,91.24423963133641,57.971014492753625,82.4074074074074,70.58823529411765,80.93023255813954,70.0,82.35294117647058,64.70588235294117,63.80090497737556,33.33333333333333,74.87437185929649
spo_crit,88.07339449541286,89.2018779342723,92.5925925925926,93.77990430622009,93.37016574585635,79.81651376146789,94.69026548672566,99.04306220095694,72.77227722772277,70.1657458563536,74.2081447963801,91.21951219512195
spo_summ,15.104166666666666,48.38709677419355,14.349775784753364,75.0,21.428571428571427,32.25806451612903,14.432989690721648,68.16143497757847,8.108108108108109,24.5,3.2407407407407405,66.3265306122449
fin_advi,90.09009009009009,79.71014492753623,73.91304347826086,86.60714285714286,90.95477386934674,79.04761904761905,83.58974358974359,79.43925233644859,89.44723618090453,72.22222222222221,65.25821596244131,94.1747572815534
fin_tuto,76.21621621621621,83.74384236453201,67.47572815533981,90.54726368159204,74.88151658767772,77.51196172248804,68.86792452830188,85.5072463768116,69.62616822429906,79.89949748743719,50.64377682403433,94.39252336448598
fin_crit,81.5,86.57407407407408,88.02083333333334,92.96482412060301,87.25,64.22018348623854,87.04663212435233,91.70984455958549,85.30805687203792,76.85185185185185,72.97297297297297,95.73459715639811
fin_summ,24.137931034482758,49.75369458128079,18.421052631578945,83.66336633663366,20.754716981132077,30.582524271844658,28.019323671497588,72.48908296943232,8.24742268041237,31.390134529147986,4.712041884816754,80.97560975609757
